SEROTYPE_ID	SEROTYPE_DESCRIPTION	SOMATIC	FLAGELLAR_1	FLAGELLAR_2	PHAGE_FLAG	SEROGROUP	PHAGE_TEST	PARENT_SERO	MODIFIABLE	MODIFIED_ON	MODIFIED_BY	REMOVEFLAG	REPORT_SEROTYPE
"09,46:Z:Z39"	"9,46:z:z39"	"9,46"	z	z39	F	D2	          	                              	T	07/13/2017 17:56:05	M123573	F	"9,46:z:z39"
"1,13,23:I:-"	"1,13,23:i:-"	"13,23"	i	-	F	G	I	                              	T	03/10/2014 11:26:47	M113613	F	"1,13,23:i:-"
11:-:-	11:-:-	11	-	-	F	          	          	                              	T	12/01/2020 14:57:29	M109320	F	11:-:-
"11:-:1,5"	"11:-:1,5"	11	-	"1,5"	F	F	          	                              	T	03/10/2014 11:26:47	M113613	F	"11:-:1,5"
"11:B:E,N,X"	"11:b:e,n,x"	11	b	"e,n,x"	F	F	          	                              	T	05/29/2019 13:19:29	M125992	F	"11:b:e,n,x"
11:C:-	11:c:-	11	c	-	F	F	          	                              	T	04/07/2021 17:04:11	M109320	F	11:c:-
"11:C:E,N,Z15"	"11:c:e,n,z15"	11	c	"e,n,z15"	F	F	          	                              	T	02/08/2019 14:23:15	M109320	F	"SGV 11:c:e,n,z15"
11:K:-	11:k:-	11	k	-	F	F	          	                              	T	04/29/2021 15:40:16	M109320	F	11:k:-
"11:Z4,Z23:-"	"11:z4,z23:-"	11	"z4,z23"	-	F	F	          	                              	T	03/10/2014 11:26:47	M113613	F	"11:z4,z23:-"
121:C:-	11:c:-	11	c	-	F	F	          	                              	T	04/07/2021 16:54:30	M109320	F	11:c:-
"13,22:-:1,6"	"13,22:-:1,6"	"13,22"	-	"1,6"	F	G	          	                              	T	08/05/2020 15:48:51	M109320	F	"13,22:-:1,6"
"13,22:Z29:1,5"	"13,22:Z29:1,5"	"1,13,22"	Z29	"1,5"	F	G	          	                              	T	05/12/2017 15:50:12	M109320	F	"13,22:Z29:1,5"
"13,22:Z:-"	"13,22:z:-"	"13,22"	z	-	F	G	          	                              	T	01/06/2021 15:49:12	M109320	F	"13,22:z:-"
"13,23:-:-"	"13,23:-:-"	"13,23"	-	-	F	G	          	                              	T	03/10/2014 11:26:47	M113613	F	"13,23:-:-"
"13,23:-:1,5"	"13,23:-:1,5"	"13,23"	-	"1,5"	F	G	          	                              	T	08/08/2019 16:31:05	M109320	F	"13,23:-:1,5"
"13,23:-:1,5,7"	"13,23:-:1,5,7"	"13,23"	-	"1,5,7"	F	G2	          	                              	T	05/14/2019 15:22:01	M125992	F	"13,23:-:1,5,7"
"13,23:-:1,7"	"13,23:-:1,7"	"13,23"	-	"1,7"	F	G2	          	                              	T	05/14/2019 15:22:57	M125992	F	"13,23:-:1,7"
"13,23:-:L,W"	"13,23:-:l,w"	"13,23"	-	"l,w"	F	G	          	                              	T	01/20/2020 16:08:19	M109320	F	"13,23:-:L,W"
"13,23:B:-"	"13,23:b:-"	"13,23"	b	-	F	G	          	                              	T	03/10/2014 11:26:47	M113613	F	"13,23:b:-"
