SEROTYPE_ID	SUBGENUS_ID	DESCRIPTION
OAKLAND	I	I - Salmonella enterica enterica
ODOZI	I	I - Salmonella enterica enterica
OFFA	I	I - Salmonella enterica enterica
OHIO	I	I - Salmonella enterica enterica
OKATIE	I	I - Salmonella enterica enterica
OMIFISAN	I	I - Salmonella enterica enterica
ONDERSTEPOORT	I	I - Salmonella enterica enterica
ONIREKE	I	I - Salmonella enterica enterica
ORANIENBURG	I	I - Salmonella enterica enterica
ORDONEZ	I	I - Salmonella enterica enterica
ORIENTALIS	I	I - Salmonella enterica enterica
OSLO	I	I - Salmonella enterica enterica
OTHMARSCHEN	I	I - Salmonella enterica enterica
OUAKAM	I	I - Salmonella enterica enterica
PAKISTAN	I	I - Salmonella enterica enterica
PANAMA	I	I - Salmonella enterica enterica
PAPUANA	I	I - Salmonella enterica enterica
PARATYPHI_B	I	I - Salmonella enterica enterica
PATIENCE	I	I - Salmonella enterica enterica
PERTH	I	I - Salmonella enterica enterica
PLYMOUTH	I	I - Salmonella enterica enterica
POMONA	I	I - Salmonella enterica enterica
POONA	I	I - Salmonella enterica enterica
POTSDAM	I	I - Salmonella enterica enterica
POWELL	I	I - Salmonella enterica enterica
PRAHA	I	I - Salmonella enterica enterica
PULLORUM	I	I - Salmonella enterica enterica
PUTTEN	I	I - Salmonella enterica enterica
RAMATGAN	I	I - Salmonella enterica enterica
RAUS	I	I - Salmonella enterica enterica
RAWASH	I	I - Salmonella enterica enterica
READING	I	I - Salmonella enterica enterica
REDHILL	I	I - Salmonella enterica enterica
REGENT	I	I - Salmonella enterica enterica
REMO	I	I - Salmonella enterica enterica
RICHMOND	I	I - Salmonella enterica enterica
RIDEAU	I	I - Salmonella enterica enterica
RIED	I	I - Salmonella enterica enterica
RIGGIL	I	I - Salmonella enterica enterica
RISSEN	I	I - Salmonella enterica enterica
ROCHDALE	I	I - Salmonella enterica enterica
ROMANBY	I	I - Salmonella enterica enterica
ROVANIEMI	I	I - Salmonella enterica enterica
RUBISLAW	I	I - Salmonella enterica enterica
RUIRU	I	I - Salmonella enterica enterica
RUMFORD	I	I - Salmonella enterica enterica
SAINTPAUL	I	I - Salmonella enterica enterica
SALFORD	I	I - Salmonella enterica enterica
SANDIEGO	I	I - Salmonella enterica enterica
SANGERA	I	I - Salmonella enterica enterica
SANTIAGO	I	I - Salmonella enterica enterica
SARAJANE	I	I - Salmonella enterica enterica
SCHWARZENGRUND	I	I - Salmonella enterica enterica
SEEGEFELD	I	I - Salmonella enterica enterica
SENFTENBERG	I	I - Salmonella enterica enterica
SHIPLEY	I	I - Salmonella enterica enterica
SHUBRA	I	I - Salmonella enterica enterica
SINGAPORE	I	I - Salmonella enterica enterica
SINSTORF	I	I - Salmonella enterica enterica
SOERENGA	I	I - Salmonella enterica enterica
SOLT	I	I - Salmonella enterica enterica
STANLEY	I	I - Salmonella enterica enterica
STANLEYVILLE	I	I - Salmonella enterica enterica
STAOUELI	I	I - Salmonella enterica enterica
STOCKHOLM	I	I - Salmonella enterica enterica
STOURBRIDGE	I	I - Salmonella enterica enterica
STRASBOURG	I	I - Salmonella enterica enterica
STRATFORD	I	I - Salmonella enterica enterica
SUNDSVALL	I	I - Salmonella enterica enterica
SUNNYCOVE	I	I - Salmonella enterica enterica
TADO	I	I - Salmonella enterica enterica
TAKORADI	I	I - Salmonella enterica enterica
TAKSONY	I	I - Salmonella enterica enterica
TALLAHASSEE	I	I - Salmonella enterica enterica
TAMALE	I	I - Salmonella enterica enterica
TAMBERMA	I	I - Salmonella enterica enterica
TEDDINGTON	I	I - Salmonella enterica enterica
TEES	I	I - Salmonella enterica enterica
TELELKEBIR	I	I - Salmonella enterica enterica
TELHASHOMER	I	I - Salmonella enterica enterica
TELTOW	I	I - Salmonella enterica enterica
TENNESSEE	I	I - Salmonella enterica enterica
TESHIE	I	I - Salmonella enterica enterica
THOMPSON	I	I - Salmonella enterica enterica
TILBURG	I	I - Salmonella enterica enterica
TIONE	I	I - Salmonella enterica enterica
TORICADA	I	I - Salmonella enterica enterica
TOUCRA	I	I - Salmonella enterica enterica
TRAVIS	I	I - Salmonella enterica enterica
TYPHI	I	I - Salmonella enterica enterica
TYPHIMURIUM	I	I - Salmonella enterica enterica
UCCLE	I	I - Salmonella enterica enterica
UGANDA	I	I - Salmonella enterica enterica
ULLEVI	I	I - Salmonella enterica enterica
URBANA	I	I - Salmonella enterica enterica
UTAH	I	I - Salmonella enterica enterica
VEJLE	I	I - Salmonella enterica enterica
VENEZIANA	I	I - Salmonella enterica enterica
VINOHRADY	I	I - Salmonella enterica enterica
VIRCHOW	I	I - Salmonella enterica enterica
VITKIN	I	I - Salmonella enterica enterica
VLEUTEN	I	I - Salmonella enterica enterica
VOGAN	I	I - Salmonella enterica enterica
WA	I	I - Salmonella enterica enterica
WANDSWORTH	I	I - Salmonella enterica enterica
WANGATA	I	I - Salmonella enterica enterica
WARAL	I	I - Salmonella enterica enterica
WAYCROSS	I	I - Salmonella enterica enterica
WELIKADE	I	I - Salmonella enterica enterica
WELTEVREDEN	I	I - Salmonella enterica enterica
WERNIGERODE	I	I - Salmonella enterica enterica
WESLACO	I	I - Salmonella enterica enterica
WESTHAMPTON	I	I - Salmonella enterica enterica
WIDEMARSH	I	I - Salmonella enterica enterica
WIEN	I	I - Salmonella enterica enterica
WINDERMERE	I	I - Salmonella enterica enterica
WOODINVILLE	I	I - Salmonella enterica enterica
WORTHINGTON	I	I - Salmonella enterica enterica
WYLDEGREEN	I	I - Salmonella enterica enterica
YEERONGPILLY	I	I - Salmonella enterica enterica
YERBA	I	I - Salmonella enterica enterica
YOFF	I	I - Salmonella enterica enterica
YORUBA	I	I - Salmonella enterica enterica
YOVOKOME	I	I - Salmonella enterica enterica
ZANZIBAR	I	I - Salmonella enterica enterica
HADAR	I	I - Salmonella enterica enterica
HADUNA	I	I - Salmonella enterica enterica
HAIFA	I	I - Salmonella enterica enterica
HALLE	I	I - Salmonella enterica enterica
HARTFORD	I	I - Salmonella enterica enterica
HATO	I	I - Salmonella enterica enterica
HAVANA	I	I - Salmonella enterica enterica
HEIDELBERG	I	I - Salmonella enterica enterica
HERMANNSWERDER	I	I - Salmonella enterica enterica
HERSTON	I	I - Salmonella enterica enterica
HESSAREK	I	I - Salmonella enterica enterica
HILLINGDON	I	I - Salmonella enterica enterica
HINDMARSH	I	I - Salmonella enterica enterica
"41:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"41:Z4,Z23,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"41:Z4,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"42:B:E,N,X,Z15"	II	II - Salmonella enterica salamae
42:K:Z35	IIIb	IIIb - Salmonella enterica diarizonae
42:Z10:Z6	II	II - Salmonella enterica salamae
