Isolate_ID,Consensus,LIMS_Status,LIMS_Reason,LIMS_SerotypeID,LIMS_Subgenus,LIMS_Serogroup,LIMS_Variant,LIMS_Vaccine,Copy_Status,#Reads_raw,#Reads_filtered,GC%,KmerID,Contam_Flag,MOST,MOST_Light,MOST_ST,eBG,MLST,MLST_meanCov,SeqSero,SeqSero_comment,N50,sistr_Serogroup,sistr_Serovar,serovar_antigen,serovar_cgmlst,vaccine,mono,sseJ,ReadLenRange,#Contigs,#Contigs>25Kbp,#Contigs>50Kbp,AssemblySize,AssemblyGC,L50,Date,Plate_ID
S01261-23,2-Bovismorbificans--1-Bovis-morbificans,Pass,,Bovismorbificans,I,C2,,,Yes,1943180,1804301,52,81.97-salmonella--6.06-citrobacter,Off,Bovis-morbificans,AMBER,*1499,No ebg,"2,59,23,64,38,19,12",109.09,Bovismorbificans,,337387,C2-C3,Bovismorbificans,Bsilla|Hindmarsh|Bovismorbificans,Bovismorbificans,,,,15-151,46,25,20,4825288,52.16,5,26-Feb-2023,NB552234_0199
S01465-23,1-No Type--1-Berta|Pensacola|Sangalkam--1-Gallinarum or Enteritidis,CheckRequired,,Enteritidis,undetermined,undetermined,,,Yes,1254785,1230466,52,79.41-salmonella--6.02-citrobacter,Off,no type,GREEN,NOVEL ST. (no SLV),No ebg,"101,97,78,163,84,10,22",63.55,Gallinarum or Enteritidis,"Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis was not detected. The predicted serotypes share the same general formula: 9:g,m:- and can be differentiated by additional analysis.",187377,D1,Berta|Pensacola|Sangalkam,Berta|Pensacola|Sangalkam,Noya,,,,15-151,73,33,23,4703221,52.21,8,10-Mar-2023,NB552234_0206
S01858-23,"1-Arizonae--1-I 61:g,m,s:1,5,7--1-IIIb O:61:k:1,5,7",Inconclusive,Contaminated: assembly>5.8Mbp,no_consensus,IIIb,undetermined,,,No,2005194,1787165,51,79.3-salmonella--7.78-citrobacter,Off,Arizonae,AMBER,*432,No ebg,"88,26,30,55,21,68,80",84.95,"I 61:g,m,s:1,5,7","This predicted serotype is not in the Kauffman-White scheme. Co-existence of multiple serotypes detected, indicating potential inter-serotype contamination. See 'Extracted_antigen_alleles.fasta' for detected serotype determinant alleles.",40704,O:61,"IIIb O:61:k:1,5,7","IIIb O:61:k:1,5,7","IIIb 61:k:1,5,7",,,,29-151,901,64,28,6058491,51.23,39,21-Apr-2023,NB501786_0510
S01425-23,"1-IIIb -:-:---1-IIIb O:61:k:1,5,7--1-Arizonae",Inconclusive,PoorQuality: No serotype antigens detected by SeqSero,no_consensus,IIIb,undetermined,,,No,8354268,3000000,51,43.23-salmonella--6.43-citrobacter,Off,Arizonae,GREEN,432,No ebg,"88,26,30,55,21,68,80",88.27,IIIb -:-:-,No serotype antigens were detected. This is an atypical result that should be further investigated.,92800,O:61,"IIIb O:61:k:1,5,7","IIIb O:61:k:1,5,7","IIIb 61:k:1,5,7",,,,15-151,120,49,31,4783766,51.37,15,6-Mar-2023,NB552234_0204
S06419-23,1-No Type--1-Berta|Pensacola|Sangalkam--1-Gallinarum or Enteritidis,CheckRequired,,Enteritidis,undetermined,undetermined,,,Yes,1371015,995658,51,77.09-salmonella--6.03-citrobacter,Off,no type,AMBER,*8943,No ebg,"45,203,8,125,338,101,41",30.98,Gallinarum or Enteritidis,"Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis was not detected. The predicted serotypes share the same general formula: 9:g,m:- and can be differentiated by additional analysis.",23298,D1,Berta|Pensacola|Sangalkam,Berta|Pensacola|Sangalkam,Ajiobo,,,,29-151,345,58,13,4751639,52.1,62,2-Nov-2023,NB501786_0581
S06388-23,2-Enteritidis--1-No Type,Pass,,Enteritidis ,I,D1,,Salmonella Enteritidis Salmovac 440 Vaccine Strain,Yes,1895387,1051469,51,99.4-salmonella--6.01-citrobacter,Off,no type,AMBER,*Novel ST. Closest ST:11 (SLV),No ebg,"5,783,3,7,6,6,11",30.62,Enteritidis,Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis.,22665,D1,Enteritidis,Nitra|Gallinarum|Pullorum|Berta|Enteritidis|Blegdam|Gueuletapee|Naestved|Rostock|Hillingdon,Enteritidis,2-Salmovac440,,,31-151,340,54,9,4643762,52.15,64,9-Nov-2023,NB501786_0581_0583
S05935-23,2-Enteritidis--1-Dublin,CheckRequired,,Enteritidis ,I,D1,,Salmonella Enteritidis Salmovac 440 Vaccine Strain,Yes,1572518,1454493,51,99.95-salmonella--6.22-citrobacter,Off,Enteritidis,AMBER,*11,4,"5,2,3,7,6,6,11",61.87,Dublin,,27308,D1,Enteritidis,Nitra|Gallinarum|Pullorum|Berta|Enteritidis|Blegdam|Gueuletapee|Naestved|Rostock|Hillingdon,Enteritidis,2-Salmovac440,,,16-151,565,52,16,4924215,52.05,49,21-Oct-2023,NB552234_0276
S06378-23,3-Kedougou,Inconclusive,Contaminated: EntericaKmerID<75%,Kedougou,I,G,,,No,938342,686371,51,74.91-salmonella--6.37-citrobacter,Off,Kedougou,AMBER,*1543,No ebg,"417,4,15,262,95,9,141",14.93,Kedougou,,5252,G,Kedougou,Kedougou,Kedougou,,MonophasicKedougou,,29-151,1411,4,0,5004144,52.16,287,2/11/2023,NB501786_0581
S06398-23,3-Monophasic Typhimurium,Inconclusive,Contaminated: EntericaKmerID<75%,Monophasic Typhimurium,I,B,,,No,2427015,2230847,52,74.97-salmonella--6.06-citrobacter,Off,Typhimurium,AMBER,*2105,No ebg,"136,133,40,94,2,9,95",135.56,"I 4,[5],12:i:-",,94515,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Agama,,,,20-151,86,49,35,4544148,52.19,15,20-Nov-2023,NB501786_0588
S00032-24,2-Enteritidis--1-No Type,Pass,,Enteritidis ,I,D1,,Salmonella Enteritidis Salmovac 440 Vaccine Strain,Yes,2777917,2562784,49,78.12-salmonella--4.86-citrobacter,Off,no type,AMBER,*NOVEL allele. Closest ST:11(SLV),No ebg,"5,*2,3,7,6,6,11",8.18,Enteritidis,Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis.,1543,-,Enteritidis,"Nitra|Essen|Hato|Montevideo|II 7:g,m,t:-|Othmarschen|Plumaugat|Chincol|Emek|Gallinarum|Pullorum|Berta|Enteritidis|Blegdam|Gueuletapee|Naestved|Rostock|II 9,46:g,[m],[s],t:[e,n,x]|Hillingdon|Suberu|Amsterdam|Kouka|Bron|Agbeni|Warragul|Caracas|II 16:g,[m],[s],t:[e,n,x]|Adeoyo|Nikolaifleet|Pontypridd|II 21:g,[m],[s],t:-|II 21:g,m,s,t:-|II 16:g,m,s,t:1,5|II 16:g,m,s,t:e,n,x|Abadina|Croft|Godesberg|Giessen|Ealing|Korovi|II 1,40:g,[m],[s],t:[1,5]|Bijlmer|II 40:g,m,s,t:1,5|Gamaba|Tornow|Luke",Enteritidis,2-Salmovac440,,,17-151,709,0,0,954996,53.17,185,12-Jan-2024,NB552234_0300
