SEROTYPE_ID	SUBGENUS_ID	DESCRIPTION
"09,46:Z:Z39"	II	II - Salmonella enterica salamae
"1,4,[5],12,[27]:B:ENX"	II	II - Salmonella enterica salamae
11:-:-	I	I - Salmonella enterica enterica
"11:-:1,5"	I	I - Salmonella enterica enterica
"11:B:E,N,X"	VI	 
11:C:-	I	I - Salmonella enterica enterica
"11:C:E,N,Z15"	V	V - Salmonella enterica indica
"11:C:E,N,Z15"	II	 
11:K:-	I	I - Salmonella enterica enterica
"11:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"11:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
121:C:-	I	I - Salmonella enterica enterica
"13,22:-:1,6"	I	I - Salmonella enterica enterica
"13,22:Z29:1,5"	II	II - Salmonella enterica salamae
"13,22:Z:-"	I	I - Salmonella enterica enterica
"13,23:-:-"	I	I - Salmonella enterica enterica
"13,23:-:1,5"	I	I - Salmonella enterica enterica
"13,23:-:1,5,7"	II	 
"13,23:-:1,7"	II	 
"13,23:G,T:-"	II	 
"13,23:GZ51:-"	IIIa	Salmonella Enterica subspecies Arizonae
"13,23:I:-"	I	 
"13,23:L,Z28:Z6"	II	II - Salmonella enterica salamae
"13,23:Z4,Z23,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"13,23:Z:-"	I	I - Salmonella enterica enterica
"13,23:Z:1,5"	II	 
"14:EH:1,7"	IV	IV - Salmonella enterica houtenae
"14:EH:1,7"	I	I - Salmonella enterica enterica
14:Z10:Z	IIIb	salmonella enterica diarizonae
16:-:-	IIIb	salmonella enterica diarizonae
16:-:-	I	I - Salmonella enterica enterica
"16:G,M,T:-"	II	 
16:GST:-	II	 
"16:M,T:-"	II	II - Salmonella enterica salamae
"16:Z10:E,N,X,Z15"	IIIb	IIIb - Salmonella enterica diarizonae
"16:Z4,Z23:-"	II	salmonella .salamae
"16:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
17:B:-	I	I - Salmonella enterica enterica
"17:ENX,Z15:1,6"	II	 
"17:G,T:-"	II	II - Salmonella enterica salamae
"17:L,V:-"	I	I - Salmonella enterica enterica
18:-:-	I	I - Salmonella enterica enterica
18:-:-	IV	IV - Salmonella enterica houtenae
18:K:-	IIIb	IIIb - Salmonella enterica diarizonae
"18:L,V:Z"	IIIb	IIIb - Salmonella enterica diarizonae
"18:Z36,Z38:-"	IV	 
"18:Z4,Z23:-"	II	II - Salmonella enterica salamae
"18:Z4,Z23:-"	IIIa	 
"18:Z4,Z23:-"	I	I - Salmonella enterica enterica
"18:Z4,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"2,12:-:-"	I	I - Salmonella enterica enterica
21:-:-	I	I - Salmonella enterica enterica
"21:G,F,T:-"	II	II - Salmonella enterica salamae
21:Z10:-	II	II - Salmonella enterica salamae
21:Z10:Z6	II	II - Salmonella enterica salamae
28:-:-	I	I - Salmonella enterica enterica
28:-:-	II	II - Salmonella enterica salamae
"28:-:E,N,Z15"	II	II - Salmonella enterica salamae
28:GT:-	II	II - Salmonella enterica salamae
"28:Z4,Z23:-"	II	II - Salmonella enterica salamae
"28:Z6:E,N,Z15"	II	II - Salmonella enterica salamae
"28:Z6:E,N,Z15"	I	I - Salmonella enterica enterica
"3,10:-:-"	I	I - Salmonella enterica enterica
"3,10:-:1,5"	I	I - Salmonella enterica enterica
"3,10:-:1,6"	I	I - Salmonella enterica enterica
"3,10:E,H:-"	I	I - Salmonella enterica enterica
"3,10:LV:-"	I	I - Salmonella enterica enterica
"3,10:Y:-"	I	I - Salmonella enterica enterica
"3,10:Z10:-"	I	I - Salmonella enterica enterica
"3,15,34:-:-"	I	I - Salmonella enterica enterica
"3,15:-:-"	I	I - Salmonella enterica enterica
"3,15:-:1,5"	I	I - Salmonella enterica enterica
"3,15:-:1,7"	I	I - Salmonella enterica enterica
"3,15:D:E,N Z15"	I	I - Salmonella enterica enterica
"3,15:I:1,7"	I	I - Salmonella enterica enterica
"3,15:L,V:-"	I	 
"3,15:LV:-"	I	I - Salmonella enterica enterica
"3,15:ROUGH:-"	I	I - Salmonella enterica enterica
"3,15:Y:-"	I	I - Salmonella enterica enterica
"3,15:Y:1,5"	I	I - Salmonella enterica enterica
"3,19:-:-"	I	I - Salmonella enterica enterica
"3,19:D:-"	I	I - Salmonella enterica enterica
"3,19:ROUGH:-"	I	I - Salmonella enterica enterica
"3,19:Z27:-"	I	I - Salmonella enterica enterica
"3,19:Z45:-"	I	I - Salmonella enterica enterica
30:-:-	II	 
"30:L,Z28:-"	II	II - Salmonella enterica salamae
"30:L,Z28:Z6"	II	II - Salmonella enterica salamae
"30:LZ13,Z28:Z6"	II	II - Salmonella enterica salamae
30:LZ28:Z6	II	II - Salmonella enterica salamae
35:-:-	I	 
35:D:-	I	I - Salmonella enterica enterica
35:I:-	IIIb	 
"35:I:E,N,X,Z15"	IIIb	IIIb - Salmonella enterica diarizonae
35:I:Z35	IIIb	Salmonella enterica diarizonae
"35:R:ENX,Z15"	IIIb	IIIb - Salmonella enterica diarizonae
38:I:Z	IIIb	Salmonella enterica diarizonae
38:K:-	IIIb	 
"38:L,V,Z13:-"	IIIa	Salmonella Enterica subspecies Arizonae
"38:L,V:Z"	IIIb	 
"38:L,V:Z50"	IIIb	IIIb - Salmonella enterica diarizonae
38:R:-	IIIb	IIIb - Salmonella enterica diarizonae
38:R:Z	IIIb	IIIb - Salmonella enterica diarizonae
38:Y:-	I	I - Salmonella enterica enterica
38:Z10:-	IIIb	IIIb - Salmonella enterica diarizonae
"38:Z4,Z23:-"	I	I - Salmonella enterica enterica
"38:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"38:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"4,12,[27]:B:E,N,X"	II	II - Salmonella enterica salamae
"4,12:-:-"	I	I - Salmonella enterica enterica
"4,12:-:1,2"	I	I - Salmonella enterica enterica
"4,12:-:1,6"	II	II - Salmonella enterica salamae
"4,12:-:1,6"	I	I - Salmonella enterica enterica
"4,12:-:1,7"	I	I - Salmonella enterica enterica
"4,12:A:-"	I	I - Salmonella enterica enterica
"4,12:B:-"	I	I - Salmonella enterica enterica
"4,12:B:-"	II	II - Salmonella enterica salamae
"4,12:C:-"	I	I - Salmonella enterica enterica
"4,12:D:-"	I	I - Salmonella enterica enterica
"4,12:E,H:-"	I	I - Salmonella enterica enterica
"4,12:I:-"	I	I - Salmonella enterica enterica
"4,12:L,V:-"	I	I - Salmonella enterica enterica
"4,12:M,T:-"	I	 
"4,12:ROUGH:-"	I	I - Salmonella enterica enterica
"4,12:Z:-"	I	I - Salmonella enterica enterica
"4,5,12:-:-"	I	I - Salmonella enterica enterica
"4,5,12:-:1,2"	I	I - Salmonella enterica enterica
"4,5,12:-:ENZ15"	I	I - Salmonella enterica enterica
"4,5,12:B:-"	I	I - Salmonella enterica enterica
"4,5,12:D:-"	I	I - Salmonella enterica enterica
"4,5,12:E,H:-"	I	I - Salmonella enterica enterica
"4,5,12:E,H:1,7"	I	I - Salmonella enterica enterica
"4,5,12:I:-"	I	I - Salmonella enterica enterica
"4,5,12:ROUGH:-"	I	I - Salmonella enterica enterica
"40:C:E,N,X,Z15"	II	 
40:FG:-	IIIa	Salmonella Enterica subspecies Arizonae
"40:G,M,T:-"	II	II - Salmonella enterica salamae
"40:G,T:-"	II	II - Salmonella enterica salamae
"40:G,T:E,N,X,Z15"	II	II - Salmonella enterica salamae
"40:Z10:E,N,X"	II	II - Salmonella enterica salamae
"40:Z4,Z24:-"	IV	 
"40:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
"40:Z4,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
41:-:-	I	I - Salmonella enterica enterica
"41:Z4,Z23,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"41:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"41:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"41:Z4,Z24:-"	I	I - Salmonella enterica enterica
"42:B:E,N,X,Z15"	II	II - Salmonella enterica salamae
42:K:-	IIIa	Salmonella enterica diarizonae
42:K:-	IIIb	salmonella enterica diarizonae
42:K:-	I	I - Salmonella enterica enterica
"42:L,V:1,5"	I	I - Salmonella enterica enterica
"42:L,V:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
"42:L,V:1,6,7"	I	I - Salmonella enterica enterica
42:Z10:Z6	II	II - Salmonella enterica salamae
"42:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"42:Z4,Z23:-"	I	I - Salmonella enterica enterica
"42:Z4,Z24:-"	IIIa	IIIa - Salmonella enterica arizonae
"42:Z4,Z24:-"	IV	IV - Salmonella enterica houtenae
"42:Z:1,5"	II	II - Salmonella enterica salamae
43:-:-	IV	IV - Salmonella enterica houtenae
43:-:-	I	I - Salmonella enterica enterica
"43:Z4,Z23:-"	II	II - Salmonella enterica salamae
"43:Z4,Z23:-"	I	I - Salmonella enterica enterica
"43:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"43:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"43:Z4,Z24:-"	IIIa	IIIa - Salmonella enterica arizonae
"43:Z4,Z24:-"	IV	IV - Salmonella enterica houtenae
"43:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
44:-:-	IV	salmonella enterica subsp houtenae
"44:Z10:1,7"	IIIa	IIIa - Salmonella enterica arizonae
"44:Z4,Z23,Z32:-"	IV	salmonella enterica subsp houtenae
"44:Z4,Z23,Z32:-"	IIIa	IIIa - Salmonella enterica arizonae
"44:Z4,Z23:-"	II	II - Salmonella enterica salamae
"44:Z4,Z23:-"	IV	IV - Salmonella enterica houtenae
"44:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"44:Z4,Z24:-"	IV	IV - Salmonella enterica houtenae
"44:Z4,Z24:-"	IIIa	IIIa - Salmonella enterica arizonae
"44:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
"45:G,Z51:-"	IIIa	IIIa - Salmonella enterica arizonae
"45:G,Z51:-"	IV	IV - Salmonella enterica houtenae
"45:Z36,Z38:-"	IV	IV - Salmonella enterica houtenae
47:-:-	II	II - Salmonella enterica salamae
47:-:-	IIIb	IIIb - Salmonella enterica diarizonae
47:-:-	I	I - Salmonella enterica enterica
"47:A:1,5"	II	II - Salmonella enterica salamae
"47:B:1,5"	II	 
"47:B:E,N,X,Z15"	II	II - Salmonella enterica salamae
47:C:-	I	 
47:D:Z39	II	II - Salmonella enterica salamae
47:K:-	IIIb	IIIb - Salmonella enterica diarizonae
47:K:-	I	I - Salmonella enterica enterica
47:K:Z35	IIIb	IIIb - Salmonella enterica diarizonae
47:ROUGH:-	I	I - Salmonella enterica enterica
47:Z10:-	IIIb	IIIb - Salmonella enterica diarizonae
47:Z10:-	I	I - Salmonella enterica enterica
47:Z10:Z35	IIIb	salmonella enterica diarizonae
"47:Z4,Z23:-"	I	I - Salmonella enterica enterica
"47:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
"47:Z52:1,5,7"	IIIb	salmonella enterica diarizonae
"47:Z52:E,N,X,Z15"	IIIb	Salmonella enterica diarizonae
"48:-:1,5"	VI	VI - Salmonella enterica indica
48:D:Z6	II	II - Salmonella enterica salamae
"48:G,Z51:-"	IIIa	IIIa - Salmonella enterica arizonae
"48:G,Z51:-"	IV	IV - Salmonella enterica houtenae
48:I:-	IIIb	IIIb - Salmonella enterica diarizonae
48:I:Z	IIIb	IIIb - Salmonella enterica diarizonae
"48:K:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
"48:L,V:1,5"	IIIb	IIIb - Salmonella enterica diarizonae
"48:L,V:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
48:R:Z	IIIb	IIIb - Salmonella enterica diarizonae
"48:Z10:1,5"	VI	Indica
"48:Z4,Z24:-"	IIIa	 
"48:Z4,Z24:-"	IIIb	 
"48:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
"48:Z4,Z32:-"	IIIa	Salmonella enterica diarizonae
48:Z52:Z	IIIb	IIIb - Salmonella enterica diarizonae
50:-:-	IIIb	IIIb - Salmonella enterica diarizonae
50:B:-	II	II - Salmonella enterica salamae
50:B:Z6	II	II - Salmonella enterica salamae
"50:G,Z51:-"	IV	IV - Salmonella enterica houtenae
"50:G,Z51:-"	IIIa	 
50:K:Z	IIIb	IIIb - Salmonella enterica diarizonae
"50:L,V:-"	VI	Indica
"50:L,V:Z35"	IIIb	IIIb - Salmonella enterica diarizonae
50:R:-	IIIb	IIIb - Salmonella enterica diarizonae
"50:R:1,5,7"	IIIb	Salmonella enterica diarizonae
