,StrainID,ExpectedConsensus,ActualConsensus,#ReadsR1,GC%R1,R1Kmerid,ContaminationFlag,MOST,Most_light,st,MLST,MLST mean cov,SeqSero,SS comment,N50,serogroup,serovar,serovar_antigen,serovar_cgmlst,vaccine,mono,sseJ,ReadLenRange,#Contigs,#Contigs>25Kbp,#Contigs>50Kbp,AssemblySize,AssemblyGC,L50,Outcome,success
0,L00064-16,3-Monophasic Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
1,L00086-16,3-Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
2,L00088-14,3-Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
3,L00091-16,3-Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
4,L00100-13,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
5,L00117-17,3-Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
6,L00133-13,3-Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
7,L00184-15,3-Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
8,L00234-16,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
9,L00268-11,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
10,L00301-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
11,L00304-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
12,L00325-11,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
13,L00326-11,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
14,L00350-15,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
15,L00400-14,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
16,L00413-15,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
17,L00416-14,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
18,L00435-08,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
19,L00485-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
20,L00503-11,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
21,L00504-14,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
22,L00520-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
23,L00520-12,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
24,L00527-16,3-Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
25,L00541-16,3-Monophasic Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
26,L00571-16,3-Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
27,L00603-11,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
28,L00636-17,3-Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
29,L00705-15,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
30,L00750-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
31,L00763-16,3-Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
32,L00809-10,3-Monophasic Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
33,L00826-11,3-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
34,L00861-14,3-Agona,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
35,L00912-16,3-Monophasic Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
36,L00923-14,3-Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
37,L00942-13,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
38,L00970-13,3-Virchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
39,L00974-13,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
40,L00981-13,3-Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,fail,missing
